"query", "class"
"What is the current number of additional judges in the Rajasthan High Court for this year?", 16
"Can you provide the number of additional judges in the Rajasthan High Court for the current year?", 16
"How many additional judges are currently in the Rajasthan High Court this year?", 16
"Please provide the current additional judge strength in the Rajasthan High Court for this year.", 16
"What is the total number of additional judges in the Rajasthan High Court for the current year?", 16
"How many additional judge positions are there in the Rajasthan High Court for the current year?", 16
"Can I get the current count of additional judges in the Rajasthan High Court for this year?", 16
"What is the current strength of additional judges in the Rajasthan High Court for this year?", 16
"What is the current number of permanent judges in the Rajasthan High Court for this year?", 17
"Can you provide the number of permanent judges in the Rajasthan High Court for the current year?", 17
"How many permanent judges are currently in the Rajasthan High Court this year?", 17
"Please provide the current permanent judge strength in the Rajasthan High Court for this year.", 17
"What is the total number of permanent judges in the Rajasthan High Court for the current year?", 17
"How many permanent judge positions are there in the Rajasthan High Court for the current year?", 17
"Can I get the current count of permanent judges in the Rajasthan High Court for this year?", 17
"What is the current strength of permanent judges in the Rajasthan High Court for this year?", 17
"What is the current number of judges in the Rajasthan High Court for this year?", 18
"Can you provide the number of judges in the Rajasthan High Court for the current year?", 18
"How many judges are currently in the Rajasthan High Court this year?", 18
"Please provide the current judge strength in the Rajasthan High Court for this year.", 18
"What is the total number of judges in the Rajasthan High Court for the current year?", 18
"How many judge positions are there in the Rajasthan High Court for the current year?", 18
"Can I get the current count of judges in the Rajasthan High Court for this year?", 18
"What is the current strength of judges in the Rajasthan High Court for this year?", 18
"What is the current number of additional working judges in the Rajasthan High Court for this year?", 19
"Can you provide the number of additional working judges in the Rajasthan High Court for the current year?", 19
"How many additional judges are currently working in the Rajasthan High Court this year?", 19
"Please provide the current additional working judge strength in the Rajasthan High Court for this year.", 19
"What is the total number of additional working judges in the Rajasthan High Court for the current year?", 19
"How many additional judge positions are occupied in the Rajasthan High Court for the current year?", 19
"Can I get the current count of additional working judges in the Rajasthan High Court for this year?", 19
"What is the current working strength of additional judges in the Rajasthan High Court for this year?", 19
"What is the current number of permanent working judges in the Rajasthan High Court for this year?", 20
"Can you provide the number of permanent working judges in the Rajasthan High Court for the current year?", 20
"How many permanent judges are currently working in the Rajasthan High Court this year?", 20
"Please provide the current permanent working judge strength in the Rajasthan High Court for this year.", 20
"What is the total number of permanent working judges in the Rajasthan High Court for the current year?", 20
"How many permanent judge positions are occupied in the Rajasthan High Court for the current year?", 20
"Can I get the current count of permanent working judges in the Rajasthan High Court for this year?", 20
"What is the current working strength of permanent judges in the Rajasthan High Court for this year?", 20
"What is the current number of working judges in the Rajasthan High Court for this year?", 21
"Can you provide the number of working judges in the Rajasthan High Court for the current year?", 21
"How many judges are currently working in the Rajasthan High Court this year?", 21
"Please provide the current working judge strength in the Rajasthan High Court for this year.", 21
"What is the total number of working judges in the Rajasthan High Court for the current year?", 21
"How many judge positions are currently occupied in the Rajasthan High Court for this year?", 21
"Can I get the current count of working judges in the Rajasthan High Court for this year?", 21
"What is the current working strength of judges in the Rajasthan High Court for this year?", 21
