"query", "class"
"What was the total number of judges in the Supreme Court for the year 2022?", 11
"Can you provide the judge strength in the Supreme Court for 2022?", 11
"What was the total strength of the Supreme Court judges in 2022?", 11
"How many judges were there in the Supreme Court for the year 2022?", 11
"Please provide the total strength of the Supreme Court for the year 2022.", 11
"What was the judge count in the Supreme Court during 2022?", 11
"Can I get the total number of judges in the Supreme Court for 2022?", 11
"What was the total number of positions in the Supreme Court for the year 2022?", 11
"How many judge positions were there in the Supreme Court in 2022?", 11
"What is the strength of the Supreme Court judges for the year 2022?", 11
"What was the total number of working judges in the Supreme Court for 2022?", 12
"Can you provide the working judge strength in the Supreme Court for the year 2022?", 12
"What was the total number of active judges in the Supreme Court during 2022?", 12
"How many judges were working in the Supreme Court in the year 2022?", 12
"Please provide the total working strength of the Supreme Court for 2022.", 12
"What was the working judge count in the Supreme Court for the year 2022?", 12
"Can I get the total number of judges actively working in the Supreme Court for 2022?", 12
"What was the total number of working positions in the Supreme Court in 2022?", 12
"How many judges were in active service in the Supreme Court during 2022?", 12
"What is the working strength of the Supreme Court judges for the year 2022?", 12
"What was the total number of vacancies in the Supreme Court for 2022?", 13
"Can you provide the number of vacancies in the Supreme Court for the year 2022?", 13
"How many judge vacancies were there in the Supreme Court in 2022?", 13
"Please provide the total number of vacant positions in the Supreme Court for 2022.", 13
"What was the total vacancy count in the Supreme Court during 2022?", 13
"How many vacancies existed in the Supreme Court for the year 2022?", 13
"Can I get the total number of vacancies in the Supreme Court for 2022?", 13
"What was the vacancy status of the Supreme Court in 2022?", 13
"How many judicial vacancies were reported in the Supreme Court in 2022?", 13
"What is the total number of vacant judge positions in the Supreme Court for the year 2022?", 13
"Can you provide the complete strength status and analysis of the Supreme Court for the year 2022?", 14
"What is the overall strength status and analysis of the Supreme Court for 2022?", 14
"Please give a detailed analysis of the Supreme Court's strength for the year 2022.", 14
"What was the total strength status and analysis of the Supreme Court in 2022?", 14
"Can you provide an overview of the Supreme Court's strength and analysis for 2022?", 14
"What is the complete analysis of the Supreme Court's strength for the year 2022?", 14
"Please provide a summary of the strength status and analysis of the Supreme Court for 2022.", 14
"How was the overall strength of the Supreme Court analyzed for the year 2022?", 14
"What was the detailed strength status and analysis of the Supreme Court in 2022?", 14
"Can I get a comprehensive analysis of the Supreme Court's strength for the year 2022?", 14
"Can you provide the complete strength status and analysis of the Supreme Court for all previous years?", 15
"What is the overall strength status and analysis of the Supreme Court for all previous years?", 15
"Please give a detailed analysis of the Supreme Court's strength for all previous years.", 15
"What was the total strength status and analysis of the Supreme Court for all previous years?", 15
"Can you provide an overview of the Supreme Court's strength and analysis for all previous years?", 15
"What is the complete analysis of the Supreme Court's strength over all previous years?", 15
"Please provide a summary of the strength status and analysis of the Supreme Court for all previous years.", 15
"How has the overall strength of the Supreme Court been analyzed for all previous years?", 15
"What was the detailed strength status and analysis of the Supreme Court for all previous years?", 15
"Can I get a comprehensive analysis of the Supreme Court's strength for all previous years?", 15
